0,DÍA,HORA,NOX,CO,HUMO
1293,19/03/2022,03:30:00 p. m.,89,819,393
1294,19/03/2022,03:31:00 p. m.,63,406,228
1295,19/03/2022,03:32:00 p. m.,87,512,254
1296,19/03/2022,03:33:00 p. m.,122,993,290
1297,19/03/2022,03:34:00 p. m.,139,1216,283
1298,19/03/2022,03:35:00 p. m.,4,106,241
1299,19/03/2022,03:36:00 p. m.,89,82,3
1300,19/03/2022,03:37:00 p. m.,84,669,364
1301,19/03/2022,03:38:00 p. m.,103,436,155
1302,19/03/2022,03:39:00 p. m.,137,80,151
1303,19/03/2022,03:40:00 p. m.,128,608,423
1304,19/03/2022,03:41:00 p. m.,73,690,186
1305,19/03/2022,03:42:00 p. m.,33,710,307
1306,19/03/2022,03:43:00 p. m.,31,393,243
1307,19/03/2022,03:44:00 p. m.,68,279,91
1308,19/03/2022,03:45:00 p. m.,143,591,107
1309,19/03/2022,03:46:00 p. m.,67,648,241
1310,19/03/2022,03:47:00 p. m.,100,347,274
1311,19/03/2022,03:48:00 p. m.,38,594,125
1312,19/03/2022,03:49:00 p. m.,117,297,31
1313,19/03/2022,03:50:00 p. m.,78,857,5
1314,19/03/2022,03:51:00 p. m.,68,480,313
1315,19/03/2022,03:52:00 p. m.,37,759,92
1316,19/03/2022,03:53:00 p. m.,37,870,95
1317,19/03/2022,03:54:00 p. m.,0,418,315
1318,19/03/2022,03:55:00 p. m.,143,304,47
1319,19/03/2022,03:56:00 p. m.,86,871,103
1320,19/03/2022,03:57:00 p. m.,2,380,304
1321,19/03/2022,03:58:00 p. m.,63,1160,99
1322,19/03/2022,03:59:00 p. m.,96,297,429
1323,19/03/2022,04:00:00 p. m.,107,1012,221
1324,19/03/2022,04:01:00 p. m.,128,246,367
1325,19/03/2022,04:02:00 p. m.,74,817,360
1326,19/03/2022,04:03:00 p. m.,128,1055,48
1327,19/03/2022,04:04:00 p. m.,26,163,92
1328,19/03/2022,04:05:00 p. m.,31,1134,77
1329,19/03/2022,04:06:00 p. m.,94,576,403
1330,19/03/2022,04:07:00 p. m.,51,1063,140
1331,19/03/2022,04:08:00 p. m.,111,787,159
1332,19/03/2022,04:09:00 p. m.,9,1006,104
1333,19/03/2022,04:10:00 p. m.,41,495,396
1334,19/03/2022,04:11:00 p. m.,19,895,295
1335,19/03/2022,04:12:00 p. m.,115,36,14
1336,19/03/2022,04:13:00 p. m.,48,1148,283
1337,19/03/2022,04:14:00 p. m.,144,523,48
1338,19/03/2022,04:15:00 p. m.,27,280,389
1339,19/03/2022,04:16:00 p. m.,44,848,430
1340,19/03/2022,04:17:00 p. m.,59,187,168
1341,19/03/2022,04:18:00 p. m.,0,0,0
1342,19/03/2022,04:19:00 p. m.,0,0,0
1343,19/03/2022,04:20:00 p. m.,0,0,0
1344,19/03/2022,04:21:00 p. m.,0,0,0
1345,19/03/2022,04:22:00 p. m.,0,0,0
1346,19/03/2022,04:23:00 p. m.,0,0,0
1347,19/03/2022,04:24:00 p. m.,0,0,0
1348,19/03/2022,04:25:00 p. m.,0,0,0
1349,19/03/2022,04:26:00 p. m.,0,0,0
1350,19/03/2022,04:27:00 p. m.,0,0,0
1351,19/03/2022,04:28:00 p. m.,0,0,0
1352,19/03/2022,04:29:00 p. m.,0,0,0
1353,19/03/2022,04:30:00 p. m.,0,0,0
1354,19/03/2022,04:31:00 p. m.,0,0,0
1355,19/03/2022,04:32:00 p. m.,0,0,0
1356,19/03/2022,04:33:00 p. m.,0,0,0
1357,19/03/2022,04:34:00 p. m.,0,0,0
1358,19/03/2022,04:35:00 p. m.,0,0,0
1359,19/03/2022,04:36:00 p. m.,0,0,0
1360,19/03/2022,04:37:00 p. m.,0,0,0
1361,19/03/2022,04:38:00 p. m.,0,0,0
1362,19/03/2022,04:39:00 p. m.,0,0,0
1363,19/03/2022,04:40:00 p. m.,0,0,0
1364,19/03/2022,04:41:00 p. m.,0,0,0
1365,19/03/2022,04:42:00 p. m.,0,0,0
1366,19/03/2022,04:43:00 p. m.,0,0,0
1367,19/03/2022,04:44:00 p. m.,0,0,0
1368,19/03/2022,04:45:00 p. m.,0,0,0
1369,19/03/2022,04:46:00 p. m.,0,0,0
1370,19/03/2022,04:47:00 p. m.,0,0,0
1371,19/03/2022,04:48:00 p. m.,0,0,0
1372,19/03/2022,04:49:00 p. m.,0,0,0
1373,19/03/2022,04:50:00 p. m.,0,0,0
1374,19/03/2022,04:51:00 p. m.,0,0,0
1375,19/03/2022,04:52:00 p. m.,0,0,0
1376,19/03/2022,04:53:00 p. m.,0,0,0
1377,19/03/2022,04:54:00 p. m.,0,0,0
1378,19/03/2022,04:55:00 p. m.,0,0,0
1379,19/03/2022,04:56:00 p. m.,0,0,0
1380,19/03/2022,04:57:00 p. m.,0,0,0
1381,19/03/2022,04:58:00 p. m.,0,0,0
1382,19/03/2022,04:59:00 p. m.,0,0,0
1383,19/03/2022,05:00:00 p. m.,0,0,0
1384,19/03/2022,05:01:00 p. m.,0,0,0
1385,19/03/2022,05:02:00 p. m.,0,0,0
1386,19/03/2022,05:03:00 p. m.,0,0,0
1387,19/03/2022,05:04:00 p. m.,0,0,0
1388,19/03/2022,05:05:00 p. m.,0,0,0
1389,19/03/2022,05:06:00 p. m.,0,0,0
1390,19/03/2022,05:07:00 p. m.,0,0,0
1391,19/03/2022,05:08:00 p. m.,0,0,0
1392,19/03/2022,05:09:00 p. m.,0,0,0
1393,19/03/2022,05:10:00 p. m.,0,0,0
1394,19/03/2022,05:11:00 p. m.,133,606,262
1395,19/03/2022,05:12:00 p. m.,44,544,128
1396,19/03/2022,05:13:00 p. m.,47,2,399
1397,19/03/2022,05:14:00 p. m.,153,1190,343
1398,19/03/2022,05:15:00 p. m.,92,631,125
1399,19/03/2022,05:16:00 p. m.,17,477,249
1400,19/03/2022,05:17:00 p. m.,21,337,335
1401,19/03/2022,05:18:00 p. m.,49,1137,418
1402,19/03/2022,05:19:00 p. m.,24,656,416
1403,19/03/2022,05:20:00 p. m.,69,915,411
1404,19/03/2022,05:21:00 p. m.,153,632,190
1405,19/03/2022,05:22:00 p. m.,84,540,301
1406,19/03/2022,05:23:00 p. m.,97,818,255
1407,19/03/2022,05:24:00 p. m.,112,104,380
1408,19/03/2022,05:25:00 p. m.,154,1175,62
1409,19/03/2022,05:26:00 p. m.,107,596,5
1410,19/03/2022,05:27:00 p. m.,91,517,65
1411,19/03/2022,05:28:00 p. m.,128,144,356
1412,19/03/2022,05:29:00 p. m.,88,101,121
1413,19/03/2022,05:30:00 p. m.,86,345,1
1414,19/03/2022,05:31:00 p. m.,32,748,18
1415,19/03/2022,05:32:00 p. m.,87,492,34
1416,19/03/2022,05:33:00 p. m.,43,259,192
1417,19/03/2022,05:34:00 p. m.,125,909,256
1418,19/03/2022,05:35:00 p. m.,68,299,406
1419,19/03/2022,05:36:00 p. m.,26,148,18
1420,19/03/2022,05:37:00 p. m.,10,927,147
1421,19/03/2022,05:38:00 p. m.,0,74,105
1422,19/03/2022,05:39:00 p. m.,94,624,171
1423,19/03/2022,05:40:00 p. m.,60,425,426
1424,19/03/2022,05:41:00 p. m.,81,912,39
1425,19/03/2022,05:42:00 p. m.,95,463,291
1426,19/03/2022,05:43:00 p. m.,33,766,35
1427,19/03/2022,05:44:00 p. m.,80,99,357
1428,19/03/2022,05:45:00 p. m.,77,208,187
1429,19/03/2022,05:46:00 p. m.,70,348,191
1430,19/03/2022,05:47:00 p. m.,80,678,138
1431,19/03/2022,05:48:00 p. m.,111,168,309
1432,19/03/2022,05:49:00 p. m.,70,365,145
1433,19/03/2022,05:50:00 p. m.,103,748,13
1434,19/03/2022,05:51:00 p. m.,40,22,271
1435,19/03/2022,05:52:00 p. m.,53,966,152
1436,19/03/2022,05:53:00 p. m.,4,1078,40
1437,19/03/2022,05:54:00 p. m.,71,528,295
1438,19/03/2022,05:55:00 p. m.,88,668,72
1439,19/03/2022,05:56:00 p. m.,71,849,4
1440,19/03/2022,05:57:00 p. m.,126,132,140
1441,19/03/2022,05:58:00 p. m.,154,260,202
1442,19/03/2022,05:59:00 p. m.,12,438,431
1443,19/03/2022,06:00:00 p. m.,0,0,0
1444,19/03/2022,06:00:00 a. m.,0,0,0
1445,20/03/2022,06:00:00 a. m.,0,0,0
1446,20/03/2022,06:01:00 a. m.,0,0,0
1447,20/03/2022,06:02:00 a. m.,0,0,0
1448,20/03/2022,06:03:00 a. m.,0,0,0
1449,20/03/2022,06:04:00 a. m.,0,0,0
1450,20/03/2022,06:05:00 a. m.,0,0,0
1451,20/03/2022,06:06:00 a. m.,0,0,0
1452,20/03/2022,06:07:00 a. m.,0,0,0
1453,20/03/2022,06:08:00 a. m.,0,0,0
1454,20/03/2022,06:09:00 a. m.,0,0,0
1455,20/03/2022,06:10:00 a. m.,0,0,0
1456,20/03/2022,06:11:00 a. m.,0,0,0
1457,20/03/2022,06:12:00 a. m.,0,0,0
1458,20/03/2022,06:13:00 a. m.,0,0,0
1459,20/03/2022,06:14:00 a. m.,0,0,0
1460,20/03/2022,06:15:00 a. m.,0,0,0
1461,20/03/2022,06:16:00 a. m.,0,0,0
1462,20/03/2022,06:17:00 a. m.,0,0,0
1463,20/03/2022,06:18:00 a. m.,0,0,0
1464,20/03/2022,06:19:00 a. m.,0,0,0
1465,20/03/2022,06:20:00 a. m.,0,0,0
1466,20/03/2022,06:21:00 a. m.,0,0,0
1467,20/03/2022,06:22:00 a. m.,0,0,0
1468,20/03/2022,06:23:00 a. m.,0,0,0
1469,20/03/2022,06:24:00 a. m.,0,0,0
1470,20/03/2022,06:25:00 a. m.,0,0,0
1471,20/03/2022,06:26:00 a. m.,0,0,0
1472,20/03/2022,06:27:00 a. m.,0,0,0
1473,20/03/2022,06:28:00 a. m.,0,0,0
1474,20/03/2022,06:29:00 a. m.,0,0,0
1475,20/03/2022,06:30:00 a. m.,0,0,0
1476,20/03/2022,06:31:00 a. m.,0,0,0
1477,20/03/2022,06:32:00 a. m.,0,0,0
1478,20/03/2022,06:33:00 a. m.,0,0,0
1479,20/03/2022,06:34:00 a. m.,0,0,0
1480,20/03/2022,06:35:00 a. m.,0,0,0
1481,20/03/2022,06:36:00 a. m.,0,0,0
1482,20/03/2022,06:37:00 a. m.,0,0,0
1483,20/03/2022,06:38:00 a. m.,0,0,0
1484,20/03/2022,06:39:00 a. m.,0,0,0
1485,20/03/2022,06:40:00 a. m.,0,0,0
1486,20/03/2022,06:41:00 a. m.,0,0,0
1487,20/03/2022,06:42:00 a. m.,0,0,0
1488,20/03/2022,06:43:00 a. m.,0,0,0
1489,20/03/2022,06:44:00 a. m.,0,0,0
1490,20/03/2022,06:45:00 a. m.,0,0,0
1491,20/03/2022,06:46:00 a. m.,0,0,0
1492,20/03/2022,06:47:00 a. m.,0,0,0
1493,20/03/2022,06:48:00 a. m.,0,0,0
1494,20/03/2022,06:49:00 a. m.,0,0,0
1495,20/03/2022,06:50:00 a. m.,0,0,0
1496,20/03/2022,06:51:00 a. m.,0,0,0
1497,20/03/2022,06:52:00 a. m.,0,0,0
1498,20/03/2022,06:53:00 a. m.,0,0,0
1499,20/03/2022,06:54:00 a. m.,0,0,0
1500,20/03/2022,06:55:00 a. m.,0,0,0
1501,20/03/2022,06:56:00 a. m.,0,0,0
1502,20/03/2022,06:57:00 a. m.,43,341,272
1503,20/03/2022,06:58:00 a. m.,109,601,194
1504,20/03/2022,06:59:00 a. m.,3,23,57
1505,20/03/2022,07:00:00 a. m.,115,841,315
1506,20/03/2022,07:01:00 a. m.,49,1152,107
1507,20/03/2022,07:02:00 a. m.,60,787,341
1508,20/03/2022,07:03:00 a. m.,9,693,130
1509,20/03/2022,07:04:00 a. m.,93,478,361
1510,20/03/2022,07:05:00 a. m.,53,419,49
1511,20/03/2022,07:06:00 a. m.,118,1242,200
1512,20/03/2022,07:07:00 a. m.,103,416,348
1513,20/03/2022,07:08:00 a. m.,151,503,419
1514,20/03/2022,07:09:00 a. m.,24,1239,249
1515,20/03/2022,07:10:00 a. m.,102,1050,196
1516,20/03/2022,07:11:00 a. m.,71,451,94
1517,20/03/2022,07:12:00 a. m.,29,75,3
1518,20/03/2022,07:13:00 a. m.,66,754,315
1519,20/03/2022,07:14:00 a. m.,66,86,399
1520,20/03/2022,07:15:00 a. m.,3,47,157
1521,20/03/2022,07:16:00 a. m.,45,23,259
1522,20/03/2022,07:17:00 a. m.,42,844,31
1523,20/03/2022,07:18:00 a. m.,142,382,392
1524,20/03/2022,07:19:00 a. m.,146,360,113
1525,20/03/2022,07:20:00 a. m.,75,436,392
1526,20/03/2022,07:21:00 a. m.,10,250,242
1527,20/03/2022,07:22:00 a. m.,39,1048,249
1528,20/03/2022,07:23:00 a. m.,103,973,153
1529,20/03/2022,07:24:00 a. m.,120,1068,47
1530,20/03/2022,07:25:00 a. m.,0,1115,397
1531,20/03/2022,07:26:00 a. m.,78,165,211
1532,20/03/2022,07:27:00 a. m.,10,231,189
1533,20/03/2022,07:28:00 a. m.,145,251,41
1534,20/03/2022,07:29:00 a. m.,68,943,80
1535,20/03/2022,07:30:00 a. m.,24,478,92
1536,20/03/2022,07:31:00 a. m.,7,1107,112
1537,20/03/2022,07:32:00 a. m.,132,1117,178
1538,20/03/2022,07:33:00 a. m.,147,414,164
1539,20/03/2022,07:34:00 a. m.,30,1029,308
1540,20/03/2022,07:35:00 a. m.,136,180,116
1541,20/03/2022,07:36:00 a. m.,10,556,57
1542,20/03/2022,07:37:00 a. m.,0,934,306
1543,20/03/2022,07:38:00 a. m.,48,483,173
1544,20/03/2022,07:39:00 a. m.,28,358,310
1545,20/03/2022,07:40:00 a. m.,146,431,196
1546,20/03/2022,07:41:00 a. m.,77,1208,151
1547,20/03/2022,07:42:00 a. m.,80,706,223
1548,20/03/2022,07:43:00 a. m.,92,193,194
1549,20/03/2022,07:44:00 a. m.,110,139,216
1550,20/03/2022,07:45:00 a. m.,144,799,254
1551,20/03/2022,07:46:00 a. m.,85,138,397
1552,20/03/2022,07:47:00 a. m.,90,1031,288
1553,20/03/2022,07:48:00 a. m.,3,373,255
1554,20/03/2022,07:49:00 a. m.,79,853,131
1555,20/03/2022,07:50:00 a. m.,41,1232,287
1556,20/03/2022,07:51:00 a. m.,86,282,281
1557,20/03/2022,07:52:00 a. m.,145,112,416
1558,20/03/2022,07:53:00 a. m.,148,114,418
1559,20/03/2022,07:54:00 a. m.,72,68,237
1560,20/03/2022,07:55:00 a. m.,97,177,208
1561,20/03/2022,07:56:00 a. m.,45,1197,84
1562,20/03/2022,07:57:00 a. m.,148,766,322
1563,20/03/2022,07:58:00 a. m.,56,1201,156
1564,20/03/2022,07:59:00 a. m.,142,656,139
1565,20/03/2022,08:00:00 a. m.,142,1224,98
1566,20/03/2022,08:01:00 a. m.,135,93,126
1567,20/03/2022,08:02:00 a. m.,1,791,58
1568,20/03/2022,08:03:00 a. m.,27,468,214
1569,20/03/2022,08:04:00 a. m.,28,1038,201
1570,20/03/2022,08:05:00 a. m.,63,364,343
1571,20/03/2022,08:06:00 a. m.,35,556,66
1572,20/03/2022,08:07:00 a. m.,108,1250,44
1573,20/03/2022,08:08:00 a. m.,47,113,214
1574,20/03/2022,08:09:00 a. m.,108,978,350
1575,20/03/2022,08:10:00 a. m.,1,726,369
1576,20/03/2022,08:11:00 a. m.,96,702,295
1577,20/03/2022,08:12:00 a. m.,136,375,170
1578,20/03/2022,08:13:00 a. m.,149,864,1
1579,20/03/2022,08:14:00 a. m.,106,149,137
1580,20/03/2022,08:15:00 a. m.,45,812,81
1581,20/03/2022,08:16:00 a. m.,2,135,227
1582,20/03/2022,08:17:00 a. m.,96,348,291
1583,20/03/2022,08:18:00 a. m.,93,115,207
1584,20/03/2022,08:19:00 a. m.,81,141,91
1585,20/03/2022,08:20:00 a. m.,150,1053,286
1586,20/03/2022,08:21:00 a. m.,6,659,398
1587,20/03/2022,08:22:00 a. m.,32,741,248
1588,20/03/2022,08:23:00 a. m.,102,864,50
1589,20/03/2022,08:24:00 a. m.,143,946,352
1590,20/03/2022,08:25:00 a. m.,106,990,305
1591,20/03/2022,08:26:00 a. m.,100,1018,357
1592,20/03/2022,08:27:00 a. m.,137,735,235
1593,20/03/2022,08:28:00 a. m.,24,1101,364
1594,20/03/2022,08:29:00 a. m.,96,682,12
1595,20/03/2022,08:30:00 a. m.,39,472,98
1596,20/03/2022,08:31:00 a. m.,146,285,135
1597,20/03/2022,08:32:00 a. m.,132,182,122
1598,20/03/2022,08:33:00 a. m.,21,1182,332
1599,20/03/2022,08:34:00 a. m.,132,315,29
1600,20/03/2022,08:35:00 a. m.,126,1211,403
1601,20/03/2022,08:36:00 a. m.,132,695,108
1602,20/03/2022,08:37:00 a. m.,12,572,139
1603,20/03/2022,08:38:00 a. m.,35,298,71
1604,20/03/2022,08:39:00 a. m.,103,868,311
1605,20/03/2022,08:40:00 a. m.,52,747,65
1606,20/03/2022,08:41:00 a. m.,18,583,241
1607,20/03/2022,08:42:00 a. m.,133,374,17
1608,20/03/2022,08:43:00 a. m.,151,495,74
1609,20/03/2022,08:44:00 a. m.,139,564,377
1610,20/03/2022,08:45:00 a. m.,20,1228,173
1611,20/03/2022,08:46:00 a. m.,103,1133,12
1612,20/03/2022,08:47:00 a. m.,152,963,382
1613,20/03/2022,08:48:00 a. m.,41,947,418
1614,20/03/2022,08:49:00 a. m.,93,1022,119
1615,20/03/2022,08:50:00 a. m.,5,395,148
1616,20/03/2022,08:51:00 a. m.,121,524,302
1617,20/03/2022,08:52:00 a. m.,112,837,317
1618,20/03/2022,08:53:00 a. m.,101,386,246
1619,20/03/2022,08:54:00 a. m.,3,366,172
1620,20/03/2022,08:55:00 a. m.,58,50,186
1621,20/03/2022,08:56:00 a. m.,131,347,121
1622,20/03/2022,08:57:00 a. m.,22,606,223
1623,20/03/2022,08:58:00 a. m.,73,862,364
1624,20/03/2022,08:59:00 a. m.,124,721,398
1625,20/03/2022,09:00:00 a. m.,134,35,158
1626,20/03/2022,09:01:00 a. m.,130,1021,53
1627,20/03/2022,09:02:00 a. m.,59,723,390
1628,20/03/2022,09:03:00 a. m.,47,544,130
1629,20/03/2022,09:04:00 a. m.,0,0,0
1630,20/03/2022,09:05:00 a. m.,0,0,0
1631,20/03/2022,09:06:00 a. m.,0,0,0
1632,20/03/2022,09:07:00 a. m.,0,0,0
1633,20/03/2022,09:08:00 a. m.,0,0,0
1634,20/03/2022,09:09:00 a. m.,0,0,0
1635,20/03/2022,09:10:00 a. m.,0,0,0
1636,20/03/2022,09:11:00 a. m.,0,0,0
1637,20/03/2022,09:12:00 a. m.,0,0,0
1638,20/03/2022,09:13:00 a. m.,0,0,0
1639,20/03/2022,09:14:00 a. m.,0,0,0
1640,20/03/2022,09:15:00 a. m.,0,0,0
1641,20/03/2022,09:16:00 a. m.,0,0,0
1642,20/03/2022,09:17:00 a. m.,0,0,0
1643,20/03/2022,09:18:00 a. m.,0,0,0
1644,20/03/2022,09:19:00 a. m.,0,0,0
1645,20/03/2022,09:20:00 a. m.,0,0,0
1646,20/03/2022,09:21:00 a. m.,0,0,0
1647,20/03/2022,09:22:00 a. m.,0,0,0
1648,20/03/2022,09:23:00 a. m.,0,0,0
1649,20/03/2022,09:24:00 a. m.,0,0,0
1650,20/03/2022,09:25:00 a. m.,0,0,0
1651,20/03/2022,09:26:00 a. m.,0,0,0
1652,20/03/2022,09:27:00 a. m.,0,0,0
1653,20/03/2022,09:28:00 a. m.,0,0,0
1654,20/03/2022,09:29:00 a. m.,0,0,0
1655,20/03/2022,09:30:00 a. m.,0,0,0
1656,20/03/2022,09:31:00 a. m.,0,0,0
1657,20/03/2022,09:32:00 a. m.,0,0,0
1658,20/03/2022,09:33:00 a. m.,0,0,0
1659,20/03/2022,09:34:00 a. m.,0,0,0
1660,20/03/2022,09:35:00 a. m.,0,0,0
1661,20/03/2022,09:36:00 a. m.,0,0,0
1662,20/03/2022,09:37:00 a. m.,0,0,0
1663,20/03/2022,09:38:00 a. m.,0,0,0
1664,20/03/2022,09:39:00 a. m.,0,0,0
1665,20/03/2022,09:40:00 a. m.,0,0,0
1666,20/03/2022,09:41:00 a. m.,0,0,0
1667,20/03/2022,09:42:00 a. m.,0,0,0
1668,20/03/2022,09:43:00 a. m.,0,0,0
1669,20/03/2022,09:44:00 a. m.,0,0,0
1670,20/03/2022,09:45:00 a. m.,0,0,0
1671,20/03/2022,09:46:00 a. m.,0,0,0
1672,20/03/2022,09:47:00 a. m.,0,0,0
1673,20/03/2022,09:48:00 a. m.,0,0,0
1674,20/03/2022,09:49:00 a. m.,0,0,0
1675,20/03/2022,09:50:00 a. m.,0,0,0
1676,20/03/2022,09:51:00 a. m.,0,0,0
1677,20/03/2022,09:52:00 a. m.,0,0,0
1678,20/03/2022,09:53:00 a. m.,0,0,0
1679,20/03/2022,09:54:00 a. m.,0,0,0
1680,20/03/2022,09:55:00 a. m.,0,0,0
1681,20/03/2022,09:56:00 a. m.,0,0,0
1682,20/03/2022,09:57:00 a. m.,0,0,0
1683,20/03/2022,09:58:00 a. m.,0,0,0
1684,20/03/2022,09:59:00 a. m.,0,0,0
1685,20/03/2022,10:00:00 a. m.,0,0,0
1686,20/03/2022,10:01:00 a. m.,0,0,0
1687,20/03/2022,10:02:00 a. m.,0,0,0
1688,20/03/2022,10:03:00 a. m.,105,620,362
1689,20/03/2022,10:04:00 a. m.,29,783,61
1690,20/03/2022,10:05:00 a. m.,106,365,314
1691,20/03/2022,10:06:00 a. m.,17,486,80
1692,20/03/2022,10:07:00 a. m.,8,1187,74
1693,20/03/2022,10:08:00 a. m.,148,1201,76
1694,20/03/2022,10:09:00 a. m.,106,370,28
1695,20/03/2022,10:10:00 a. m.,8,822,310
1696,20/03/2022,10:11:00 a. m.,118,602,109
1697,20/03/2022,10:12:00 a. m.,9,687,110
1698,20/03/2022,10:13:00 a. m.,28,1219,85
1699,20/03/2022,10:14:00 a. m.,108,1213,364
1700,20/03/2022,10:15:00 a. m.,100,559,410
1701,20/03/2022,10:16:00 a. m.,151,341,158
1702,20/03/2022,10:17:00 a. m.,98,767,426
1703,20/03/2022,10:18:00 a. m.,71,777,275
1704,20/03/2022,10:19:00 a. m.,9,682,86
1705,20/03/2022,10:20:00 a. m.,109,28,195
1706,20/03/2022,10:21:00 a. m.,107,310,153
1707,20/03/2022,10:22:00 a. m.,109,1249,87
1708,20/03/2022,10:23:00 a. m.,119,399,51
1709,20/03/2022,10:24:00 a. m.,97,909,128
1710,20/03/2022,10:25:00 a. m.,126,732,387
1711,20/03/2022,10:26:00 a. m.,19,891,129
1712,20/03/2022,10:27:00 a. m.,20,694,5
1713,20/03/2022,10:28:00 a. m.,132,7,414
1714,20/03/2022,10:29:00 a. m.,60,105,2
1715,20/03/2022,10:30:00 a. m.,65,557,66
1716,20/03/2022,10:31:00 a. m.,98,273,386
1717,20/03/2022,10:32:00 a. m.,121,406,193
1718,20/03/2022,10:33:00 a. m.,44,28,280
1719,20/03/2022,10:34:00 a. m.,37,709,356
1720,20/03/2022,10:35:00 a. m.,102,686,178
1721,20/03/2022,10:36:00 a. m.,70,410,418
1722,20/03/2022,10:37:00 a. m.,107,337,164
1723,20/03/2022,10:38:00 a. m.,142,417,367
1724,20/03/2022,10:39:00 a. m.,76,996,286
1725,20/03/2022,10:40:00 a. m.,99,606,91
1726,20/03/2022,10:41:00 a. m.,145,1021,59
1727,20/03/2022,10:42:00 a. m.,135,715,101
1728,20/03/2022,10:43:00 a. m.,52,1040,266
1729,20/03/2022,10:44:00 a. m.,14,1132,243
1730,20/03/2022,10:45:00 a. m.,116,1087,169
1731,20/03/2022,10:46:00 a. m.,9,603,402
1732,20/03/2022,10:47:00 a. m.,88,1145,111
1733,20/03/2022,10:48:00 a. m.,104,273,130
1734,20/03/2022,10:49:00 a. m.,3,655,348
1735,20/03/2022,10:50:00 a. m.,106,116,130
1736,20/03/2022,10:51:00 a. m.,45,352,143
1737,20/03/2022,10:52:00 a. m.,31,423,35
1738,20/03/2022,10:53:00 a. m.,103,1092,341
1739,20/03/2022,10:54:00 a. m.,114,916,137
1740,20/03/2022,10:55:00 a. m.,28,647,378
1741,20/03/2022,10:56:00 a. m.,19,694,137
1742,20/03/2022,10:57:00 a. m.,152,749,370
1743,20/03/2022,10:58:00 a. m.,18,324,147
1744,20/03/2022,10:59:00 a. m.,13,300,264
1745,20/03/2022,11:00:00 a. m.,132,526,307
1746,20/03/2022,11:01:00 a. m.,55,377,137
1747,20/03/2022,11:02:00 a. m.,125,729,50
1748,20/03/2022,11:03:00 a. m.,74,1186,345
1749,20/03/2022,11:04:00 a. m.,29,584,282
1750,20/03/2022,11:05:00 a. m.,17,206,54
1751,20/03/2022,11:06:00 a. m.,73,173,338
1752,20/03/2022,11:07:00 a. m.,144,288,314
1753,20/03/2022,11:08:00 a. m.,69,836,124
1754,20/03/2022,11:09:00 a. m.,145,83,418
1755,20/03/2022,11:10:00 a. m.,88,20,417
1756,20/03/2022,11:11:00 a. m.,61,876,420
1757,20/03/2022,11:12:00 a. m.,124,1163,22
1758,20/03/2022,11:13:00 a. m.,140,1109,413
1759,20/03/2022,11:14:00 a. m.,45,9,261
1760,20/03/2022,11:15:00 a. m.,78,557,397
1761,20/03/2022,11:16:00 a. m.,27,755,120
1762,20/03/2022,11:17:00 a. m.,48,185,339
1763,20/03/2022,11:18:00 a. m.,143,1047,120
1764,20/03/2022,11:19:00 a. m.,43,257,61
1765,20/03/2022,11:20:00 a. m.,93,421,161
1766,20/03/2022,11:21:00 a. m.,59,1058,114
1767,20/03/2022,11:22:00 a. m.,16,576,259
1768,20/03/2022,11:23:00 a. m.,116,1152,342
1769,20/03/2022,11:24:00 a. m.,101,44,294
1770,20/03/2022,11:25:00 a. m.,18,1200,389
1771,20/03/2022,11:26:00 a. m.,51,102,294
1772,20/03/2022,11:27:00 a. m.,30,67,382
1773,20/03/2022,11:28:00 a. m.,40,783,16
1774,20/03/2022,11:29:00 a. m.,52,586,56
1775,20/03/2022,11:30:00 a. m.,84,394,30
1776,20/03/2022,11:31:00 a. m.,79,1193,421
1777,20/03/2022,11:32:00 a. m.,79,91,28
1778,20/03/2022,11:33:00 a. m.,127,46,405
1779,20/03/2022,11:34:00 a. m.,88,77,20
1780,20/03/2022,11:35:00 a. m.,147,130,398
1781,20/03/2022,11:36:00 a. m.,41,239,191
1782,20/03/2022,11:37:00 a. m.,54,4,344
1783,20/03/2022,11:38:00 a. m.,123,317,59
1784,20/03/2022,11:39:00 a. m.,0,1051,50
1785,20/03/2022,11:40:00 a. m.,63,1122,166
1786,20/03/2022,11:41:00 a. m.,115,794,134
1787,20/03/2022,11:42:00 a. m.,135,1238,302
1788,20/03/2022,11:43:00 a. m.,66,1097,273
1789,20/03/2022,11:44:00 a. m.,144,748,109
1790,20/03/2022,11:45:00 a. m.,146,348,249
1791,20/03/2022,11:46:00 a. m.,4,15,174
1792,20/03/2022,11:47:00 a. m.,61,573,226
1793,20/03/2022,11:48:00 a. m.,10,354,136
1794,20/03/2022,11:49:00 a. m.,131,1207,186
1795,20/03/2022,11:50:00 a. m.,65,955,107
1796,20/03/2022,11:51:00 a. m.,37,1195,401
1797,20/03/2022,11:52:00 a. m.,19,1001,242
1798,20/03/2022,11:53:00 a. m.,106,183,410
1799,20/03/2022,11:54:00 a. m.,91,299,19
1800,20/03/2022,11:55:00 a. m.,52,158,214
1801,20/03/2022,11:56:00 a. m.,60,515,413
1802,20/03/2022,11:57:00 a. m.,116,27,201
1803,20/03/2022,11:58:00 a. m.,65,1221,117
1804,20/03/2022,11:59:00 a. m.,67,1132,112
1805,20/03/2022,12:00:00 p. m.,4,323,176
1806,20/03/2022,12:01:00 p. m.,39,658,60
1807,20/03/2022,12:02:00 p. m.,50,402,236
